id;agency_id;first_name;last_name;email;phone;role;hourly_rate;availability;is_active;address;city;state;zip_code;created_at;updated_at;employment_type;custom_min_hours;reliability_score;performance_rating;emergency_contact_name;emergency_contact_phone;hire_date;user_id;location_address;location_city;location_state;location_zip_code;service_radius_miles;service_zipcodes
28dd013f-37b6-4706-af01-c18dc6df2918;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Amanda;Johnson;amanda@giver.com;555-5000003;part_time;21.00;{};true;103 Elm St;Kalamazoo;MI;92004;2025-11-06 01:54:31.74323+00;2025-11-06 10:09:18.900938+00;part_time;;88;4.3;Emergency Contact CG3;555-8000003;2022-11-06;;;;;;10;[]
64f4c59d-c968-4e28-905d-0b4f2b84ae21;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Matthew;Johnson;matthew.johnson@samplecaregiver.com;555-5000004;full_time;22.00;{};true;104 Elm St;Fresno;CA;92005;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;full_time;;89;4.4;Emergency Contact CG4;555-8000004;2021-11-06;;;;;;10;[]
0cb5ce76-4e2b-4e50-a9ef-cf4e4a8eb031;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Michelle;Johnson;michelle.johnson@samplecaregiver.com;555-5000005;full_time;23.00;{};true;105 Elm St;Fresno;CA;92006;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;full_time;;90;4.5;Emergency Contact CG5;555-8000005;2025-11-06;;;;;;10;[]
d5bd3783-d5a7-4e2e-b47d-64a6b4726b15;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Andrew;Johnson;andrew.johnson@samplecaregiver.com;555-5000006;part_time;24.00;{};true;106 Elm St;Fresno;CA;92007;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;part_time;;91;4.6;Emergency Contact CG6;555-8000006;2024-11-06;;;;;;10;[]
eb5ef8d2-e63b-4e6d-9b4b-86f6d6cc8113;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Stephanie;Johnson;stephanie.johnson@samplecaregiver.com;555-5000007;full_time;25.00;{};true;107 Elm St;Fresno;CA;92008;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;full_time;;92;4.7;Emergency Contact CG7;555-8000007;2023-11-06;;;;;;10;[]
b2916c5b-ad98-44cf-aaf8-9e44502adb48;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Joshua;Johnson;joshua.johnson@samplecaregiver.com;555-5000008;full_time;26.00;{};true;108 Elm St;Fresno;CA;92009;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;full_time;;93;4.8;Emergency Contact CG8;555-8000008;2022-11-06;;;;;;10;[]
d4c4bfa4-e8ba-4223-8902-91a9d3a9c2fc;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Angela;Johnson;angela.johnson@samplecaregiver.com;555-5000009;part_time;27.00;{};true;109 Elm St;Fresno;CA;92010;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;part_time;;94;4.9;Emergency Contact CG9;555-8000009;2021-11-06;;;;;;10;[]
c5ea6495-442d-4f6d-a659-723470c46236;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Daniel;Johnson;daniel.johnson@samplecaregiver.com;555-5000010;full_time;18.00;{};true;110 Elm St;Fresno;CA;92011;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;full_time;;95;4.0;Emergency Contact CG10;555-8000010;2025-11-06;;;;;;10;[]
3b3ae194-b792-47da-a281-d41e35d8348d;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Rebecca;Johnson;rebecca.johnson@samplecaregiver.com;555-5000011;full_time;19.00;{};true;111 Elm St;Fresno;CA;92012;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;full_time;;96;4.1;Emergency Contact CG11;555-8000011;2024-11-06;;;;;;10;[]
a5217ac4-75a8-4ecb-bff5-2fb6808f1ef8;56fbfe38-e8eb-40c1-ba27-07428f62ed2e;Ryan;Johnson;ryan.johnson@samplecaregiver.com;555-5000012;part_time;20.00;{};true;112 Elm St;Fresno;CA;92013;2025-11-06 01:54:31.74323+00;2025-11-06 01:54:31.74323+00;part_time;;97;4.2;Emergency Contact CG12;555-8000012;2023-11-06;;;;;;10;[]
